evaluation_run,checkpoint,dataset,protocol,aggregation,split_begin,split_end,number_of_recordings,number_of_measurements,mae_bpm,mae_standard_error_bpm,recording_macro_rmse_bpm,accuracy_within_5_bpm_percent,completion_status
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED103,COHFACE,Old,window_to_recording,0.0,1.0,160,8242,8.88618781619625,0.533617700400444,12.331715245375056,59.9247755399175,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED103,COHFACE,PRISM,window_to_recording,0.0,1.0,160,810,7.18798828125,0.49468566193750474,9.431044202267197,62.22222222222222,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED103,PURE,Official,recording,0.0,1.0,59,59,4.43942699354681,1.5993198251673728,4.43942699354681,89.83050847457628,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED103,PURE,Old,window_to_recording,0.0,1.0,59,3576,5.569434076974219,1.2796801905532464,8.89767326935801,84.98322147651007,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED103,PURE,PRISM,window_to_recording,0.0,1.0,59,374,5.806560377809095,1.3045363646367383,8.214955800316075,82.0855614973262,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED103,TokyoTech,Official,recording,0.0,1.0,9,9,3.240324032403243,1.4401440144014401,3.240324032403243,77.77777777777779,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED103,TokyoTech,Old,window_to_recording,0.0,1.0,9,1521,1.8908612754766603,0.5302856386157356,3.6616029503844345,93.75410913872453,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED103,TokyoTech,PRISM,window_to_recording,0.0,1.0,9,153,1.3032801011029411,0.4001254110345913,2.186756607164614,94.77124183006535,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED103,UBFC-PHYS,Official,recording,0.0,1.0,60,60,7.461746174617461,1.1483463661667346,7.461746174617461,56.666666666666664,PASSED
evaluation_protocols_a4_final_multiseed,UBFC_A4_L3_C050_SEED103,UBFC-PHYS,Old,window_to_recording,0.0,1.0,60,10140,17.446646942800786,1.490486884715526,23.27363673511554,41.03550295857988,PASSED
