evaluation_run,checkpoint,dataset,protocol,evaluation_unit,total_count,correct_count,harmonic_1p5x_count,harmonic_2x_count,harmonic_0p5x_count,harmonic_0p333x_count,other_large_error_count
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,UBFC-rPPG,Official,recording,9,9,0,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,UBFC-rPPG,Old,window,497,487,1,0,6,0,3
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C010,UBFC-rPPG,PRISM,window,52,52,0,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,BH-rPPG,Official,recording,105,99,1,0,0,0,5
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,BH-rPPG,Old,window,5323,4221,116,41,44,0,901
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,BH-rPPG,PRISM,window,523,437,11,0,2,0,73
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,COHFACE,Official,recording,160,129,2,0,3,0,26
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,COHFACE,Old,window,8242,4436,74,7,576,0,3149
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,COHFACE,PRISM,window,810,508,12,1,25,0,264
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,PURE,Official,recording,59,55,1,0,1,0,2
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,PURE,Old,window,3576,3089,72,84,25,28,278
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,PURE,PRISM,window,374,316,13,19,7,0,19
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,TokyoTech,Official,recording,9,9,0,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,TokyoTech,Old,window,1521,1312,0,0,50,0,159
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,TokyoTech,PRISM,window,153,136,0,0,3,0,14
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,UBFC-PHYS,Official,recording,60,35,7,0,0,0,18
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,UBFC-PHYS,Old,window,10140,3593,1113,1026,599,24,3785
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,UBFC-PHYS,PRISM,window,1020,401,132,73,36,0,378
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,UBFC-rPPG,Official,recording,9,9,0,0,0,0,0
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,UBFC-rPPG,Old,window,497,481,0,0,4,0,12
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C025,UBFC-rPPG,PRISM,window,52,51,0,0,0,0,1
evaluation_protocols_a4_loss_weight_tuning,UBFC_A4_L3_C050,BH-rPPG,Official,recording,105,98,0,0,0,0,7
